id,x,y
5227,251,1058
35936,275,3335
27143,268,4123
21651,264,4305
6093,251,3442
43781,284,2644
24926,267,797
7504,252,3661
20604,264,1875
44436,287,820
1611,248,3487
12222,256,3938
10935,255,3299
675,247,4334
42919,281,790
6639,252,834
10457,255,1574
15044,259,3469
15553,260,1157
13497,258,341
19784,263,3884
28459,269,4523
44336,286,3498
6560,252,324
41235,278,3958
16347,260,4527
28313,269,4255
4510,250,3475
3638,250,1030
1190,248,1905
11803,256,2086
34032,274,2706
36064,275,3463
13026,257,3127
1683,248,3966
5396,251,1318
15042,259,3286
15429,260,326
44865,289,356
39339,277,3095
43610,283,3509
41997,279,2882
10581,255,1859
9589,254,2762
9927,254,3901
4216,250,2808
16889,261,2652
39100,277,2684
10877,255,3130
29065,270,2885
