id,x,y
40256,278,1252
38927,277,1949
8925,253,4313
13139,257,3633
29095,270,2915
22082,265,1660
18090,262,2701
38895,277,1917
10324,255,1139
10213,254,4530
29868,271,1502
25054,267,1402
37806,276,3421
6986,252,1935
41443,278,4413
33356,273,4540
32023,272,4441
14405,258,4532
3643,250,1035
20649,264,1920
2347,249,1305
15226,259,4309
23660,266,1661
14034,258,3249
26187,267,4388
8849,253,4086
32186,273,1138
12607,257,1360
2811,249,3135
26661,268,1861
26610,268,1714
28083,269,3290
35042,275,1234
11727,256,1849
38408,276,4438
426,247,1991
36502,275,4108
38230,276,4053
33756,274,1716
5602,251,1946
21961,265,1146
14206,258,3914
38623,277,1232
7505,252,3662
25968,267,4017
17084,261,3114
23025,265,3981
40097,278,311
12633,257,1386
42452,279,4003
