id,x,y
20639,264,1910
1963,249,820
11044,255,3660
41843,279,1975
5184,251,1015
16829,261,2592
42914,281,354
24362,266,3681
36400,275,4006
30077,271,2084
34533,274,3903
45451,292,329
42984,281,2586
14828,259,2528
21205,264,3255
40566,278,2025
14384,258,4511
36781,276,817
34004,274,2678
10103,254,4339
1717,248,4000
25212,267,1843
7962,253,1166
15752,260,1840
5738,251,2468
9693,254,3103
3582,250,974
34232,274,3264
38429,276,4560
43314,282,3468
39572,277,3514
7383,252,3429
20757,264,2028
10480,255,1597
3946,250,1886
21439,264,3982
3143,249,4001
23870,266,1967
15382,259,4518
20172,263,4465
40272,278,1268
624,247,4021
16371,261,312
28575,270,801
23100,265,4056
2190,249,1047
19969,263,4069
1154,248,1608
11646,256,1617
37962,276,3694
