id,x,y
16484,261,1127
8646,253,3460
34872,275,317
39019,277,2041
13,247,812
37537,276,2986
3905,250,1619
38328,276,4257
2195,249,1052
23811,266,1908
1410,248,2893
32874,273,3301
32904,273,3442
7839,253,311
17690,262,1392
1603,248,3479
31458,272,2913
38997,277,2019
36137,275,3647
25141,267,1676
30956,272,1153
35008,275,1200
18036,262,2647
17340,261,4310
23280,265,4383
42495,279,4046
20707,264,1978
13122,257,3505
43305,282,2683
23189,265,4145
41478,278,4559
34088,274,2908
12039,256,3277
34169,274,3060
40220,278,1216
41564,279,792
1322,248,2463
10998,255,3503
42512,279,4063
38988,277,2010
29912,271,1546
10344,255,1159
1192,248,1907
40249,278,1245
20170,263,4463
28800,270,1695
36004,275,3403
45000,289,3484
32833,273,3260
11168,255,4136
