id,x,y
13847,258,2508
10260,255,353
11461,256,833
23357,265,4522
2518,249,1948
13996,258,3110
39957,277,4238
24644,266,4149
30809,271,4558
21783,264,4520
11339,255,4509
3371,250,332
16511,261,1154
44210,286,830
1249,248,1964
45521,292,2616
11804,256,2087
26703,268,2084
31693,272,3632
27599,269,1498
32879,273,3306
40831,278,3064
26319,268,323
41273,278,3996
15114,259,3650
10729,255,2519
20558,264,1829
28938,270,2085
5287,251,1209
39480,277,3422
31481,272,2936
19049,263,1872
38526,277,799
30430,271,3508
28144,269,3638
7705,252,4305
25614,267,2908
40357,278,1489
31629,272,3457
13859,258,2520
4382,250,3347
33291,273,4394
36328,275,3934
1838,248,4347
42625,280,320
2661,249,2492
14159,258,3666
22406,265,2085
11990,256,3122
8003,253,1207
