id,x,y
11613,256,1583
41376,278,4235
14104,258,3500
26364,268,799
36492,275,4098
31234,272,1885
35519,275,2545
20573,264,1844
37038,276,1506
17360,261,4341
29157,270,3123
3317,249,4487
30691,271,4369
26065,267,4114
21210,264,3260
40071,277,4574
2829,249,3314
13538,258,813
16773,261,2536
36972,276,1334
24871,267,311
42545,279,4257
38787,277,1512
2339,249,1297
36381,275,3987
1337,248,2478
2709,249,2811
30752,271,4430
17725,262,1538
12921,257,2770
5768,251,2498
19711,263,3509
14852,259,2743
31627,272,3455
27033,268,3641
30628,271,4144
22065,265,1562
44223,286,2594
22586,265,2676
33865,274,1921
4963,251,794
23135,265,4091
27132,268,4112
45281,291,350
1746,248,4029
3796,250,1284
40006,277,4398
24781,266,4439
3957,250,1897
7813,252,4504
