id,x,y
3699,250,1187
42698,280,824
9720,254,3130
21705,264,4390
3270,249,4329
20676,264,1947
35013,275,1205
26683,268,2064
1124,248,1317
17348,261,4318
27503,269,1130
20198,263,4522
18807,263,1146
12151,256,3661
1418,248,2901
14746,259,1830
33197,273,4123
40673,278,2704
41739,279,1499
6303,251,4004
2703,249,2805
35708,275,2951
38053,276,3785
9665,254,2904
34341,274,3444
11674,256,1645
43780,284,2643
14146,258,3653
39387,277,3329
15480,260,808
33828,274,1884
43194,282,815
22358,265,2037
26488,268,1395
31927,272,4264
4340,250,3305
30202,271,2877
28237,269,3917
19573,263,3089
14675,259,1628
19668,263,3275
21037,264,2719
1673,248,3670
38038,276,3770
19823,263,3923
7084,252,2465
22276,265,1955
30076,271,2083
25331,267,1962
22554,265,2644
