id,x,y
41126,278,3733
13618,258,1365
6461,251,4338
125,247,924
27788,269,2060
22950,265,3906
26750,268,2552
3682,250,1170
24199,266,3130
43031,281,2659
18099,262,2710
18679,263,316
37572,276,3021
20575,264,1846
40316,278,1312
36620,275,4418
42101,279,3047
15189,259,3921
4771,250,4098
41254,278,3977
105,247,904
29429,270,4130
36629,275,4427
32637,273,2691
4325,250,3290
14592,259,1383
33948,274,2075
13892,258,2754
36827,276,1189
34883,275,328
3880,250,1594
27880,269,2699
25174,267,1709
21681,264,4366
27669,269,1679
37946,276,3672
7640,252,4079
34598,274,3968
36623,275,4421
39003,277,2025
32629,273,2683
5991,251,3340
43235,282,2592
29884,271,1518
528,247,3390
20402,264,1390
32597,273,2560
28387,269,4390
35471,275,2026
17210,261,3633
