id,x,y
7359,252,3354
31851,272,4092
16119,260,3674
20710,264,1981
16374,261,315
29513,270,4376
13738,258,1647
43346,282,3500
13251,257,4132
32514,273,2021
41694,279,1293
9497,254,2068
25574,267,2868
37680,276,3295
7736,252,4336
16476,261,1119
43334,282,3488
45340,291,2611
30653,271,4260
19607,263,3123
10428,255,1384
17136,261,3257
1549,248,3399
32894,273,3321
9962,254,3936
34365,274,3468
19198,263,2021
42655,280,350
19312,263,2556
3020,249,3506
1634,248,3510
37637,276,3086
12453,257,308
39187,277,2943
13093,257,3476
36740,276,345
40865,278,3309
5259,251,1181
34059,274,2879
40492,278,1951
20547,264,1818
8300,253,2048
4686,250,4013
15115,259,3651
20326,264,832
28610,270,836
32676,273,2871
36822,276,1184
15364,259,4500
4967,251,798
