id,x,y
39120,277,2704
7489,252,3646
14750,259,1834
24626,266,4131
982,248,1049
8078,253,1373
23574,266,1388
24550,266,4055
27371,268,4550
37280,276,2025
25469,267,2516
37661,276,3110
34421,274,3635
34378,274,3481
1801,248,4084
29978,271,1839
24004,266,2512
25351,267,1982
1820,248,4329
8650,253,3464
29846,271,1384
7418,252,3464
12918,257,2767
32673,273,2868
10364,255,1179
36956,276,1318
24587,266,4092
38013,276,3745
8036,253,1331
3917,250,1631
36026,275,3425
12246,256,4123
16730,261,2493
19094,263,1917
27346,268,4525
12083,256,3482
31265,272,2047
25444,267,2075
44343,286,3505
17773,262,1586
21349,264,3892
5777,251,2758
37071,276,1710
18025,262,2636
32078,272,4577
15394,259,4530
20361,264,1138
32823,273,3124
29541,270,4404
2626,249,2457
