id,x,y
5246,251,1168
4961,251,792
40918,278,3362
35586,275,2683
7757,252,4357
30473,271,3662
14275,258,4340
15819,260,2533
2934,249,3419
32995,273,3644
34372,274,3475
3178,249,4036
10945,255,3309
23130,265,4086
28111,269,3494
2913,249,3398
45224,290,3502
34745,274,4378
39770,277,3935
33435,274,340
42870,281,310
9382,254,1661
32789,273,3090
10716,255,2506
36129,275,3639
21960,265,1145
38299,276,4228
28597,270,823
35136,275,1328
3375,250,336
36306,275,3816
33505,274,1147
25439,267,2070
27531,269,1158
27912,269,2731
23704,266,1705
32271,273,1334
40252,278,1248
45146,290,2618
9811,254,3458
34010,274,2684
26360,268,795
1400,248,2883
7687,252,4126
90,247,889
5739,251,2469
44944,289,2627
5927,251,3135
15701,260,1663
33062,273,3711
