id,x,y
9715,254,3125
22383,265,2062
13466,258,310
7176,252,2869
30136,271,2579
44676,288,824
44323,286,3485
36930,276,1292
37622,276,3071
9136,254,827
4354,250,3319
35886,275,3285
34503,274,3717
30531,271,3901
3929,250,1869
34814,274,4538
13593,258,1149
32634,273,2688
15904,260,2895
40705,278,2902
1063,248,1256
17242,261,3665
24090,266,2739
20507,264,1672
14744,259,1828
1197,248,1912
33293,273,4396
12342,256,4355
10833,255,2915
28021,269,3127
40269,278,1265
32437,273,1833
36544,275,4251
13248,257,4129
6145,251,3494
3159,249,4017
35564,275,2590
738,248,805
40624,278,2604
24349,266,3668
20980,264,2662
13426,257,4504
8769,253,3915
7203,252,2896
17185,261,3497
40064,277,4567
8844,253,4081
15666,260,1628
12102,256,3501
22815,265,3469
