id,x,y
10617,255,2036
22754,265,3126
40005,277,4397
19462,263,2706
17965,262,2576
7571,252,3959
20658,264,1929
43941,285,807
14114,258,3510
1004,248,1071
15494,260,822
3864,250,1352
20641,264,1912
19914,263,4014
16830,261,2593
28364,269,4367
22374,265,2053
20986,264,2668
26857,268,2901
9859,254,3506
13948,258,2891
18994,263,1817
14552,259,1152
19061,263,1884
23750,266,1847
19758,263,3667
22547,265,2637
18100,262,2711
34151,274,2971
32495,273,1891
11693,256,1664
6582,252,346
14595,259,1386
10762,255,2773
2856,249,3341
25025,267,1373
9318,254,1597
10040,254,4135
4787,250,4114
5013,251,844
39660,277,3729
17140,261,3261
11046,255,3662
35249,275,1703
44441,287,825
18156,262,2767
1474,248,3324
32020,272,4438
2005,249,862
27720,269,1821
