id,x,y
44807,288,3507
6946,252,1895
18408,262,3870
41512,279,309
35348,275,1903
39051,277,2574
17952,262,2563
27871,269,2569
45046,290,321
15317,259,4452
33164,273,4090
30133,271,2576
40399,278,1722
12251,256,4128
6423,251,4124
28894,270,2041
13450,257,4528
17504,261,4537
38678,277,1287
12932,257,2781
43948,285,814
31827,272,3937
24296,266,3504
15187,259,3919
42867,280,3516
33262,273,4284
34846,274,4570
27419,269,334
2635,249,2466
2436,249,1630
26131,267,4281
37057,276,1525
27111,268,3910
12775,257,1841
28408,269,4411
12748,257,1663
22332,265,2011
31946,272,4283
24278,266,3486
2015,249,872
23417,266,328
33958,274,2551
8942,253,4330
13632,258,1379
9660,254,2899
23366,265,4531
17443,261,4465
21007,264,2689
12356,256,4369
17854,262,1829
