id,x,y
26303,267,4566
9212,254,1199
21130,264,3089
43804,284,2667
17075,261,3105
20330,264,836
19744,263,3653
32896,273,3323
8442,253,2873
10698,255,2488
41375,278,4234
10773,255,2784
39331,277,3087
9973,254,3947
15074,259,3499
28199,269,3879
9669,254,2908
10142,254,4459
12578,257,1150
16842,261,2605
31950,272,4287
37611,276,3060
4829,250,4342
4008,250,1948
21951,265,1136
872,248,939
41365,278,4088
21973,265,1369
39578,277,3631
41465,278,4435
13866,258,2527
45482,292,801
31178,272,1829
7494,252,3651
9218,254,1326
10530,255,1647
10672,255,2091
1927,249,353
44144,286,333
16436,261,808
3644,250,1036
21997,265,1393
4364,250,3329
30206,271,2881
3926,250,1640
43399,283,344
12642,257,1395
40943,278,3387
42584,279,4558
38292,276,4115
