id,x,y
20130,263,4392
21093,264,2881
23184,265,4140
34425,274,3639
10522,255,1639
11260,255,4359
41390,278,4249
38886,277,1908
36235,275,3745
24023,266,2531
10511,255,1628
18835,263,1385
2941,249,3426
3836,250,1324
8748,253,3673
22271,265,1950
9986,254,3960
4714,250,4041
32273,273,1336
5012,251,843
12439,256,4523
21094,264,2882
44243,286,2614
23915,266,2012
16094,260,3649
9896,254,3654
38303,276,4232
29612,270,4546
17232,261,3655
1234,248,1949
14740,259,1824
16174,260,4281
4247,250,2890
36269,275,3779
14991,259,3235
45032,289,3516
1752,248,4035
20581,264,1852
23253,265,4356
9865,254,3512
27893,269,2712
33587,274,1300
22475,265,2565
39204,277,2960
45168,290,2640
30770,271,4448
35283,275,1737
24759,266,4406
766,248,833
6074,251,3423
