id,x,y
29179,270,3251
44679,288,827
2038,249,895
35430,275,1985
26476,268,1383
24169,266,3100
24571,266,4076
26302,267,4565
8686,253,3500
14979,259,3127
7578,252,3966
40552,278,2011
34311,274,3343
12723,257,1638
9495,254,2066
3157,249,4015
13066,257,3273
22451,265,2541
38561,277,834
6941,252,1890
17396,261,4377
29410,270,4111
42453,279,4004
4061,250,2001
17405,261,4386
22952,265,3908
43241,282,2598
12614,257,1367
38444,276,4575
17612,262,832
27438,269,353
129,247,928
3380,250,341
20250,264,325
42338,279,3748
4608,250,3935
25322,267,1953
36469,275,4075
14899,259,2876
25739,267,3486
28409,269,4412
3167,249,4025
45578,292,3489
11724,256,1846
40396,278,1719
3522,250,914
32952,273,3490
3130,249,3988
26430,268,1146
25236,267,1867
