id,x,y
39084,277,2668
31442,272,2897
15632,260,1563
12155,256,3665
36545,275,4252
40911,278,3355
31235,272,1886
39184,277,2940
20367,264,1144
18161,262,2868
15427,260,324
24026,266,2534
17708,262,1410
32377,273,1531
43856,284,3500
2066,249,923
5578,251,1922
35241,275,1695
33900,274,2027
14411,258,4538
173,247,972
4081,250,2021
22170,265,1849
29081,270,2901
28264,269,4115
17986,262,2597
30723,271,4401
442,247,2469
43437,283,813
43137,282,327
8199,253,1856
15626,260,1557
30458,271,3647
22738,265,3110
10673,255,2092
27581,269,1389
29033,270,2722
31494,272,2949
30508,271,3697
41394,278,4253
14421,259,314
15216,259,4299
39217,277,2973
12350,256,4363
37085,276,1724
15484,260,812
33088,273,3903
36059,275,3458
17886,262,2497
7162,252,2794
