id,x,y
38108,276,3931
7155,252,2787
16812,261,2575
8508,253,3110
37092,276,1731
22574,265,2664
6255,251,3956
37337,276,2568
36603,275,4401
14122,258,3629
13729,258,1638
8972,253,4360
17251,261,3674
23095,265,4051
21942,265,1127
3244,249,4102
32825,273,3126
3352,250,313
5621,251,1965
37157,276,1902
16608,261,1578
25825,267,3874
9516,254,2087
6047,251,3396
24325,266,3644
6011,251,3360
15046,259,3471
8396,253,2761
42780,280,2663
8910,253,4298
16190,260,4297
40210,278,1206
44696,288,2600
33034,273,3683
13471,258,315
23258,265,4361
710,248,336
9428,254,1878
40890,278,3334
29159,270,3125
3943,250,1883
38715,277,1324
40459,278,1918
20727,264,1998
20879,264,2561
19620,263,3136
15215,259,4298
1962,249,819
17900,262,2511
16465,261,1108
