id,x,y
30715,271,4393
23988,266,2085
1785,248,4068
38700,277,1309
20476,264,1570
23947,266,2044
3673,250,1065
2483,249,1913
36640,275,4438
34243,274,3275
8643,253,3457
33994,274,2587
27169,268,4149
5233,251,1064
26958,268,3274
23780,266,1877
8998,253,4477
9326,254,1605
2034,249,891
22150,265,1829
7011,252,2011
37695,276,3310
2844,249,3329
31791,272,3901
24559,266,4064
13319,257,4336
19723,263,3632
33939,274,2066
30306,271,3117
34157,274,2977
5453,251,1586
45333,291,833
21095,264,2883
867,248,934
14951,259,3099
37786,276,3401
33546,274,1188
10662,255,2081
32477,273,1873
7438,252,3484
34609,274,3979
42644,280,339
27881,269,2700
8847,253,4084
44989,289,3473
27073,268,3681
32360,273,1514
14673,259,1595
10811,255,2893
3586,250,978
