id,x,y
33170,273,4096
12488,257,343
97,247,896
33736,274,1696
37238,276,1983
21235,264,3476
36778,276,814
26244,267,4456
14150,258,3657
32528,273,2035
24074,266,2723
45247,291,316
42822,280,3471
25702,267,3263
10579,255,1857
5938,251,3287
2399,249,1593
44366,287,319
29903,271,1537
21127,264,2915
42991,281,2593
7856,253,328
2309,249,1267
8628,253,3442
12247,256,4124
15004,259,3248
38261,276,4084
35565,275,2591
32142,273,798
23968,266,2065
10394,255,1350
8595,253,3318
14155,258,3662
14926,259,2903
17110,261,3231
23507,266,1120
44259,286,2630
36689,275,4578
7747,252,4347
19741,263,3650
26064,267,4113
42224,279,3421
9482,254,2053
44685,288,833
36887,276,1249
4899,250,4513
10779,255,2790
36879,276,1241
21070,264,2752
5985,251,3334
