id,x,y
11801,256,2084
32522,273,2029
29921,271,1686
33891,274,2018
11907,256,2868
37334,276,2565
22600,265,2690
41192,278,3799
30734,271,4412
19843,263,3943
13915,258,2777
19605,263,3121
42711,280,2563
38244,276,4067
29360,270,3900
5370,251,1292
44031,285,2643
41933,279,2606
12011,256,3249
20837,264,2519
42674,280,800
24211,266,3233
17709,262,1411
1794,248,4077
14578,259,1369
28622,270,1134
28679,270,1362
14194,258,3902
5223,251,1054
13011,257,3112
25391,267,2022
20963,264,2645
43214,282,835
17881,262,1856
14433,259,326
13101,257,3484
13104,257,3487
15537,260,1141
6271,251,3972
3353,250,314
11325,255,4495
11664,256,1635
30451,271,3640
20820,264,2091
40423,278,1746
37526,276,2975
32943,273,3481
24488,266,3993
16857,261,2620
14724,259,1677
