id,x,y
34440,274,3654
38602,277,1211
31722,272,3661
20578,264,1849
18399,262,3670
9233,254,1341
42172,279,3369
237,247,1036
41184,278,3791
44349,286,3511
12243,256,4120
43514,283,2626
17456,261,4478
6021,251,3370
10278,255,802
44384,287,337
2875,249,3360
12192,256,3908
35651,275,2894
6087,251,3436
37423,276,2715
42982,281,2584
32096,273,321
101,247,900
590,247,3986
35072,275,1264
23954,266,2051
8923,253,4311
32900,273,3438
29813,271,1351
31714,272,3653
27535,269,1162
13103,257,3486
5808,251,2789
30004,271,1865
32467,273,1863
18423,262,3885
8712,253,3637
2650,249,2481
29484,270,4276
10733,255,2744
38761,277,1486
20859,264,2541
24331,266,3650
24317,266,3636
22200,265,1879
15929,260,3091
10828,255,2910
10674,255,2093
43299,282,2677
