id,x,y
44755,288,2659
36647,275,4445
11025,255,3641
4371,250,3336
42164,279,3361
41032,278,3487
20288,264,794
44675,288,823
11550,256,1369
11832,256,2496
36980,276,1342
23315,265,4439
43557,283,2680
13014,257,3115
36776,276,812
8120,253,1596
12976,257,2906
40338,278,1334
1823,248,4332
27857,269,2555
3385,250,346
41801,279,1933
11539,256,1358
38487,277,329
21276,264,3628
26569,268,1673
21354,264,3897
22616,265,2706
27264,268,4391
40062,277,4565
26502,268,1505
20584,264,1855
9685,254,3095
5690,251,2034
31716,272,3655
44446,287,830
25237,267,1868
15045,259,3470
8197,253,1854
41341,278,4064
18352,262,3512
14004,258,3118
44818,289,309
3554,250,946
34676,274,4117
41345,278,4068
10452,255,1569
30179,271,2723
44621,288,338
37937,276,3663
