id,x,y
39363,277,3305
4323,250,3288
31547,272,3123
10477,255,1594
25453,267,2084
38404,276,4434
19069,263,1892
32666,273,2720
3628,250,1020
36875,276,1237
22144,265,1823
35462,275,2017
18776,263,1115
9219,254,1327
5235,251,1066
45248,291,317
27890,269,2709
5630,251,1974
36748,276,353
35776,275,3019
4927,251,327
2942,249,3427
38351,276,4280
35153,275,1345
30255,271,2930
18956,263,1673
13386,257,4464
39568,277,3510
8737,253,3662
1689,248,3972
41653,279,1252
16844,261,2607
45078,290,353
16370,261,311
33693,274,1502
16008,260,3266
2247,249,1205
36995,276,1357
13541,258,816
41212,278,3819
1398,248,2881
13429,257,4507
38461,276,4592
45144,290,2616
14988,259,3136
5099,251,930
3328,249,4498
24500,266,4005
18335,262,3495
3632,250,1024
