id,x,y
27938,269,2883
1428,248,2911
4681,250,4008
24974,267,1121
13468,258,312
12418,256,4502
11499,256,1157
30636,271,4243
38320,276,4249
37152,276,1897
1215,248,1930
38105,276,3928
28376,269,4379
2395,249,1589
44154,286,343
14814,259,2514
36534,275,4241
12475,257,330
26922,268,3238
19581,263,3097
15348,259,4483
23472,266,814
42028,279,2974
14290,258,4355
30728,271,4406
29230,270,3473
22289,265,1968
26420,268,1136
27372,268,4551
5201,251,1032
17638,262,1129
16816,261,2579
9388,254,1838
22121,265,1699
13834,258,2495
37645,276,3094
28052,269,3259
561,247,3424
12519,257,805
38518,277,791
24393,266,3898
37344,276,2575
6961,252,1910
39367,277,3309
4867,250,4481
8724,253,3649
7508,252,3665
435,247,2001
778,248,845
16455,261,827
