id,x,y
28422,269,4425
28776,270,1550
34859,274,4583
21588,264,4131
3192,249,4050
34852,274,4576
38049,276,3781
18239,262,3117
307,247,1268
2739,249,2892
8452,253,2883
41869,279,2001
32735,273,2930
131,247,930
29280,270,3634
42775,280,2658
10905,255,3269
39582,277,3635
27508,269,1135
3721,250,1209
34083,274,2903
29074,270,2894
1688,248,3971
10250,255,343
23770,266,1867
31041,272,1369
22990,265,3946
43387,283,332
43376,283,321
42890,281,330
22749,265,3121
36257,275,3767
8275,253,2023
37897,276,3512
6143,251,3492
21075,264,2757
38891,277,1913
28393,269,4396
1305,248,2020
4327,250,3292
44464,287,2599
44542,287,3468
771,248,838
11955,256,2916
16672,261,1683
14182,258,3890
34570,274,3940
10118,254,4354
23347,265,4471
32319,273,1382
