id,x,y
3487,250,879
35035,275,1227
17904,262,2515
6286,251,3987
44338,286,3500
39963,277,4244
4598,250,3674
44072,285,3470
29272,270,3515
7828,252,4519
22876,265,3641
22894,265,3659
27150,268,4130
10618,255,2037
3516,250,908
12223,256,3939
37931,276,3657
7495,252,3652
43443,283,819
17300,261,3914
8467,253,2898
1090,248,1283
9186,254,1173
14398,258,4525
13548,258,823
44018,285,2630
21419,264,3962
2384,249,1342
45524,292,2619
38587,277,1196
23008,265,3964
19076,263,1899
2508,249,1938
21663,264,4348
42219,279,3416
36556,275,4263
42246,279,3474
5956,251,3305
14835,259,2535
22504,265,2594
43209,282,830
19806,263,3906
12032,256,3270
32154,273,810
3930,250,1870
45676,293,2635
39603,277,3656
8132,253,1608
5705,251,2049
44452,287,836
