id,x,y
21380,264,3923
25241,267,1872
15636,260,1567
31468,272,2923
14253,258,4317
2835,249,3320
26481,268,1388
41717,279,1316
7744,252,4344
38521,277,794
23585,266,1399
5111,251,942
35163,275,1355
5655,251,1999
25459,267,2090
31488,272,2943
13073,257,3280
35602,275,2699
18587,262,4452
16316,260,4485
28770,270,1544
31313,272,2541
37825,276,3440
38620,277,1229
22057,265,1554
16818,261,2581
20690,264,1961
29865,271,1499
19466,263,2710
28082,269,3289
24246,266,3268
15635,260,1566
6040,251,3389
38003,276,3735
15649,260,1580
18318,262,3478
8811,253,3957
15967,260,3129
27041,268,3649
11940,256,2901
10399,255,1355
25298,267,1929
28033,269,3240
9029,253,4508
35431,275,1986
14241,258,4305
23303,265,4427
29878,271,1512
23534,266,1147
44239,286,2610
