id,x,y
30387,271,3465
34754,274,4387
28494,269,4558
37066,276,1705
37494,276,2943
4383,250,3348
42118,279,3064
16020,260,3278
28873,270,1859
34805,274,4438
35212,275,1505
42501,279,4052
5432,251,1354
44810,288,3510
1219,248,1934
2098,249,955
2313,249,1271
24118,266,2878
37163,276,1908
3853,250,1341
15411,260,308
44720,288,2624
16482,261,1125
16260,260,4378
41359,278,4082
689,248,315
32878,273,3305
22551,265,2641
21148,264,3107
44348,286,3510
12952,257,2882
37375,276,2667
37629,276,3078
38586,277,1195
9814,254,3461
41822,279,1954
31477,272,2932
24511,266,4016
22569,265,2659
34353,274,3456
38873,277,1895
20947,264,2629
10619,255,2038
30344,271,3271
25105,267,1549
14419,259,312
42001,279,2886
17159,261,3471
37080,276,1719
1109,248,1302
