id,x,y
522,247,3384
33450,274,355
6749,252,1306
24324,266,3643
25942,267,3991
317,247,1278
43672,284,793
32654,273,2708
3715,250,1203
10957,255,3462
43656,284,346
19017,263,1840
29016,270,2705
24498,266,4003
23004,265,3960
9605,254,2778
23494,266,836
23946,266,2043
6905,252,1854
8550,253,3273
22591,265,2681
32062,272,4561
16432,261,804
22004,265,1400
29474,270,4266
19324,263,2568
16115,260,3670
36237,275,3747
38984,277,2006
19689,263,3487
19632,263,3239
25512,267,2559
9217,254,1325
11591,256,1561
6954,252,1903
14143,258,3650
34767,274,4400
13925,258,2868
21856,265,339
12079,256,3478
10127,254,4363
14062,258,3277
1282,248,1997
25457,267,2088
20157,263,4450
6936,252,1885
19930,263,4030
18186,262,2893
41125,278,3732
20013,263,4113
