id,x,y
23548,266,1161
33877,274,2004
34258,274,3290
17542,262,331
19129,263,1952
13361,257,4378
15575,260,1380
35355,275,1910
28203,269,3883
15086,259,3511
40450,278,1909
33808,274,1864
12722,257,1637
16434,261,806
33880,274,2007
38938,277,1960
18216,262,3094
41137,278,3744
14247,258,4311
19650,263,3257
31868,272,4109
23439,266,350
18972,263,1689
29350,270,3890
2464,249,1894
17860,262,1835
12957,257,2887
45389,291,3471
22763,265,3135
41652,279,1251
30071,271,2078
19255,263,2499
16495,261,1138
41459,278,4429
4113,250,2053
37235,276,1980
34208,274,3099
9539,254,2481
39350,277,3106
29873,271,1507
7258,252,3122
13513,258,788
41757,279,1728
40709,278,2906
24831,266,4530
2360,249,1318
16859,261,2622
36786,276,822
29769,271,1156
27021,268,3629
