id,x,y
38925,277,1947
20125,263,4387
20187,263,4511
8212,253,1869
25084,267,1528
30830,271,4579
40524,278,1983
22996,265,3952
4317,250,3131
9675,254,2914
29156,270,3122
11851,256,2515
29008,270,2697
34389,274,3492
26000,267,4049
24798,266,4456
21072,264,2754
11069,255,3896
952,248,1019
44372,287,325
22213,265,1892
289,247,1250
45137,290,2609
26082,267,4131
25081,267,1525
34260,274,3292
19690,263,3488
22885,265,3650
36903,276,1265
23952,266,2049
22076,265,1654
1464,248,3128
36065,275,3464
36971,276,1333
14089,258,3485
410,247,1975
31202,272,1853
4828,250,4341
39322,277,3078
17058,261,3088
40934,278,3378
26801,268,2724
20572,264,1843
34475,274,3689
35357,275,1912
4634,250,3961
22534,265,2624
23596,266,1410
41766,279,1737
9776,254,3302
