id,x,y
34233,274,3265
7907,253,810
35380,275,1935
6410,251,4111
45195,290,3473
5288,251,1210
24601,266,4106
32253,273,1205
25282,267,1913
32979,273,3628
37371,276,2663
32431,273,1736
11067,255,3894
20866,264,2548
19315,263,2559
14095,258,3491
30825,271,4574
2611,249,2041
42283,279,3511
41074,278,3645
14238,258,4302
43893,285,328
2305,249,1263
10489,255,1606
13498,258,342
19762,263,3671
16924,261,2687
5369,251,1291
24803,266,4461
39445,277,3387
32159,273,815
44022,285,2634
43055,281,2683
31803,272,3913
945,248,1012
579,247,3654
21896,265,810
4208,250,2800
34672,274,4113
2911,249,3396
11558,256,1377
6247,251,3948
26659,268,1859
9886,254,3644
33888,274,2015
11230,255,4329
28837,270,1823
9654,254,2893
14742,259,1826
9297,254,1576
