id,x,y
24929,267,800
29657,271,322
29669,271,334
36160,275,3670
1299,248,2014
38267,276,4090
43442,283,818
12068,256,3467
14802,259,2502
9230,254,1338
1279,248,1994
31808,272,3918
10286,255,810
33782,274,1742
21579,264,4122
31947,272,4284
44834,289,325
7092,252,2473
40003,277,4395
34664,274,4105
36867,276,1229
11680,256,1651
37206,276,1951
6819,252,1376
9248,254,1356
26292,267,4555
13012,257,3113
30660,271,4267
14712,259,1665
3722,250,1210
18853,263,1403
1244,248,1959
1740,248,4023
45331,291,831
7818,252,4509
6721,252,1227
2385,249,1343
14273,258,4338
17408,261,4389
28885,270,1871
16122,260,3873
18747,263,815
32685,273,2880
22585,265,2675
39577,277,3630
32640,273,2694
18296,262,3265
38613,277,1222
15601,260,1406
20803,264,2074
