id,x,y
43901,285,336
7422,252,3468
43249,282,2606
25050,267,1398
32198,273,1150
4779,250,4106
39393,277,3335
43904,285,339
22067,265,1564
1795,248,4078
41595,279,823
34626,274,4067
28919,270,2066
43456,283,832
44900,289,822
42759,280,2611
11475,256,1133
20005,263,4105
5850,251,2887
9575,254,2748
21322,264,3674
19023,263,1846
22812,265,3275
21284,264,3636
45407,291,3489
31768,272,3707
7051,252,2051
36448,275,4054
39999,277,4391
11016,255,3632
30333,271,3260
13178,257,3672
30145,271,2689
30545,271,3915
34554,274,3924
28243,269,3923
31030,272,1358
16654,261,1665
26711,268,2092
32011,272,4429
37142,276,1887
578,247,3653
25827,267,3876
10022,254,4117
21953,265,1138
13297,257,4314
253,247,1052
41727,279,1487
26315,268,319
41000,278,3444
