id,x,y
16195,260,4302
33834,274,1890
279,247,1240
27664,269,1674
37490,276,2939
18588,262,4453
16966,261,2729
39933,277,4098
2142,249,999
13793,258,1843
10102,254,4338
40038,277,4430
1263,248,1978
29618,270,4552
833,248,900
13721,258,1630
42816,280,2699
6098,251,3447
9756,254,3282
15398,259,4534
30447,271,3636
10562,255,1840
13977,258,3091
262,247,1222
40115,278,329
35006,275,1198
42214,279,3411
42007,279,2892
26595,268,1699
35794,275,3037
33454,274,790
3633,250,1025
37200,276,1945
42094,279,3040
8720,253,3645
15556,260,1160
18866,263,1416
17869,262,1844
27312,268,4440
14730,259,1814
13264,257,4145
26932,268,3248
4717,250,4044
21440,264,3983
45354,291,2625
2351,249,1309
4423,250,3388
14256,258,4320
18919,263,1575
44136,286,325
