id,x,y
804,248,871
3847,250,1335
7344,252,3339
37231,276,1976
19729,263,3638
14172,258,3880
44318,286,3480
25519,267,2566
38066,276,3798
30073,271,2080
39856,277,4021
27769,269,1870
42479,279,4030
5224,251,1055
42392,279,3802
36253,275,3763
8389,253,2754
36227,275,3737
27154,268,4134
21296,264,3648
12228,256,4105
36724,276,329
4745,250,4072
10989,255,3494
6769,252,1326
39759,277,3828
14813,259,2513
36805,276,1167
34404,274,3507
20596,264,1867
13643,258,1390
8002,253,1206
16467,261,1110
45052,290,327
10246,255,339
29495,270,4287
31176,272,1736
24300,266,3508
24561,266,4066
33339,273,4442
11939,256,2900
36117,275,3516
25874,267,3923
34024,274,2698
29988,271,1849
43566,283,2689
17171,261,3483
5746,251,2476
34758,274,4391
33481,274,817
