id,x,y
43536,283,2659
15833,260,2733
30310,271,3121
39216,277,2972
8140,253,1616
45526,292,2621
31068,272,1396
9287,254,1566
43385,283,330
22154,265,1833
21726,264,4432
30591,271,4107
44216,286,836
41358,278,4081
17508,261,4541
17310,261,4280
39474,277,3416
38556,277,829
12023,256,3261
12861,257,2499
17915,262,2526
31719,272,3658
2641,249,2472
31886,272,4127
23336,265,4460
23889,266,1986
28736,270,1510
17104,261,3134
41138,278,3745
22669,265,2870
31145,272,1705
4326,250,3291
12133,256,3643
29222,270,3294
6418,251,4119
41616,279,1215
29437,270,4138
28649,270,1161
41503,278,4584
7001,252,2001
31360,272,2679
13714,258,1623
32747,273,2942
9424,254,1874
43452,283,828
30732,271,4410
6805,252,1362
39949,277,4230
27005,268,3502
40414,278,1737
