id,x,y
9566,254,2508
4168,250,2499
2362,249,1320
44874,289,796
2415,249,1609
42888,281,328
25474,267,2521
9912,254,3670
12509,257,795
30562,271,3932
36377,275,3983
30182,271,2726
31365,272,2684
42631,280,326
1434,248,3098
214,247,1013
6658,252,1164
23629,266,1539
22132,265,1811
10105,254,4341
10549,255,1666
26500,268,1503
30800,271,4549
32621,273,2584
6757,252,1314
40526,278,1985
33585,274,1298
43516,283,2639
28372,269,4375
42204,279,3401
10994,255,3499
36447,275,4053
32563,273,2070
20672,264,1943
13019,257,3120
9765,254,3291
12809,257,2056
22349,265,2028
7752,252,4352
18966,263,1683
7052,252,2052
27006,268,3503
31986,272,4404
41755,279,1726
38327,276,4256
2834,249,3319
10187,254,4504
39302,277,3058
41573,279,801
29178,270,3250
