id,x,y
7617,252,4056
3009,249,3495
4171,250,2763
32714,273,2909
29642,270,4576
16095,260,3650
28676,270,1359
5431,251,1353
33110,273,3925
25172,267,1707
14776,259,1860
3354,250,315
11821,256,2485
15146,259,3878
13350,257,4367
29414,270,4115
33340,273,4443
42770,280,2653
37832,276,3447
13040,257,3247
4568,250,3644
17053,261,2912
23260,265,4363
34771,274,4404
13440,257,4518
41147,278,3754
26843,268,2887
32194,273,1146
45626,293,343
14368,258,4495
38495,277,337
6284,251,3985
3376,250,337
13656,258,1403
10880,255,3133
35994,275,3393
43125,282,315
26593,268,1697
37033,276,1501
7539,252,3927
4165,250,2496
28353,269,4295
37757,276,3372
22622,265,2712
36011,275,3410
27854,269,2552
41488,278,4569
40397,278,1720
30113,271,2556
38167,276,3990
