id,x,y
8337,253,2085
25711,267,3272
41657,279,1256
17423,261,4445
27056,268,3664
43467,283,2579
37529,276,2978
29837,271,1375
40965,278,3409
35512,275,2067
11197,255,4296
12640,257,1393
44860,289,351
29522,270,4385
20759,264,2030
31681,272,3509
25171,267,1706
26213,267,4425
45042,290,317
12293,256,4306
10551,255,1829
41703,279,1302
26449,268,1165
9114,254,805
19851,263,3951
25261,267,1892
38735,277,1344
38309,276,4238
25841,267,3890
12196,256,3912
37549,276,2998
43401,283,346
34299,274,3331
29904,271,1538
6536,251,4514
10669,255,2088
45203,290,3481
17543,262,332
6388,251,4089
34407,274,3510
42180,279,3377
2733,249,2886
5782,251,2763
7922,253,825
25625,267,3090
32344,273,1498
32276,273,1339
17154,261,3275
41163,278,3770
19002,263,1825
