id,x,y
14888,259,2779
3756,250,1244
11250,255,4349
40165,278,810
33602,274,1315
6682,252,1188
31483,272,2938
7771,252,4462
791,248,858
14967,259,3115
43747,284,2609
15059,259,3484
14918,259,2895
37031,276,1499
5182,251,1013
18426,262,3888
4496,250,3461
45212,290,3490
21518,264,4061
33992,274,2585
27806,269,2078
11688,256,1659
357,247,1921
33562,274,1204
27455,269,801
5579,251,1923
35474,275,2029
25693,267,3254
32141,273,797
10934,255,3298
20258,264,333
42466,279,4017
41338,278,4061
38202,276,4025
43213,282,834
1414,248,2897
27940,269,2885
11920,256,2881
19588,263,3104
6569,252,333
33488,274,824
35093,275,1285
45235,290,3513
39317,277,3073
5037,251,868
36148,275,3658
30563,271,3933
27760,269,1861
18680,263,317
16013,260,3271
