id,x,y
32002,272,4420
28684,270,1367
3355,250,316
27879,269,2698
41794,279,1926
15080,259,3505
11080,255,3907
23678,266,1679
36012,275,3411
15462,260,790
16703,261,1830
5615,251,1959
28740,270,1514
32310,273,1373
44613,288,330
44505,287,2640
15964,260,3126
4144,250,2475
28808,270,1703
26036,267,4085
32225,273,1177
4513,250,3478
5476,251,1609
14779,259,1863
26224,267,4436
4731,250,4058
37929,276,3655
39481,277,3423
18336,262,3496
31028,272,1356
36419,275,4025
35889,275,3288
5648,251,1992
42714,280,2566
5941,251,3290
1073,248,1266
42023,279,2969
39875,277,4040
4212,250,2804
39627,277,3696
5812,251,2793
37531,276,2980
43632,284,322
21388,264,3931
31188,272,1839
2421,249,1615
17252,261,3675
147,247,946
34195,274,3086
19796,263,3896
