id,x,y
14567,259,1358
45034,290,309
17949,262,2560
6166,251,3515
5574,251,1918
919,248,986
26641,268,1841
43178,282,799
27787,269,2059
32282,273,1345
1776,248,4059
17682,262,1384
16050,260,3494
17551,262,340
13167,257,3661
35841,275,3084
39406,277,3348
40591,278,2571
10757,255,2768
35378,275,1933
13206,257,3906
32247,273,1199
39551,277,3493
12651,257,1555
12735,257,1650
899,248,966
3990,250,1930
4708,250,4035
28477,269,4541
4183,250,2775
30654,271,4261
16561,261,1415
13438,257,4516
39107,277,2691
17686,262,1388
37390,276,2682
26611,268,1715
4299,250,3113
20946,264,2628
22529,265,2619
18770,263,1109
3883,250,1597
39868,277,4033
34817,274,4541
15796,260,2510
22943,265,3899
43629,284,319
24705,266,4311
42593,279,4567
30276,271,3087
