id,x,y
39025,277,2047
42783,280,2666
25852,267,3901
37262,276,2007
40869,278,3313
21364,264,3907
8855,253,4092
40390,278,1713
26145,267,4295
10395,255,1351
16071,260,3515
16335,260,4515
6018,251,3367
29012,270,2701
35541,275,2567
19115,263,1938
17322,261,4292
6980,252,1929
14080,258,3476
23590,266,1404
45505,292,824
29639,270,4573
39663,277,3732
5095,251,926
7811,252,4502
31707,272,3646
4174,250,2766
15566,260,1371
19572,263,3088
27248,268,4375
29329,270,3683
21223,264,3273
23228,265,4290
23720,266,1817
5382,251,1304
18881,263,1537
13417,257,4495
1441,248,3105
13839,258,2500
4227,250,2870
9587,254,2760
20143,263,4436
36405,275,4011
6486,251,4464
36543,275,4250
433,247,1999
18659,262,4545
25858,267,3907
12841,257,2479
45167,290,2639
