id,x,y
11125,255,4093
24250,266,3272
18706,263,343
550,247,3412
39895,277,4060
44314,286,3476
17125,261,3246
11917,256,2878
28438,269,4441
23402,266,313
10954,255,3459
43474,283,2586
36552,275,4259
43918,285,353
31926,272,4263
1100,248,1293
17259,261,3873
43846,284,3490
36090,275,3489
22764,265,3136
38786,277,1511
27515,269,1142
35487,275,2042
6131,251,3480
43427,283,803
24983,267,1130
6908,252,1857
28447,269,4450
1943,249,800
12907,257,2756
42143,279,3340
21448,264,3991
37051,276,1519
14969,259,3117
37306,276,2051
43322,282,3476
8348,253,2472
6315,251,4016
19359,263,2603
26547,268,1550
4019,250,1959
24117,266,2877
10893,255,3257
991,248,1058
17133,261,3254
21254,264,3495
19020,263,1843
9994,254,4089
6667,252,1173
31966,272,4384
