id,x,y
31869,272,4110
39532,277,3474
43619,284,309
38173,276,3996
30676,271,4283
23953,266,2050
27707,269,1717
5450,251,1583
5190,251,1021
33780,274,1740
9223,254,1331
30604,271,4120
24066,266,2715
18083,262,2694
43106,281,3505
14303,258,4368
530,247,3392
42173,279,3370
6062,251,3411
3408,250,800
45387,291,3469
15854,260,2754
5153,251,984
14485,259,809
10995,255,3500
15887,260,2878
36839,276,1201
42899,281,339
25501,267,2548
19817,263,3917
19238,263,2061
31765,272,3704
22160,265,1839
7402,252,3448
29088,270,2908
8802,253,3948
13212,257,3912
24658,266,4264
20691,264,1962
33495,274,831
10147,254,4464
19986,263,4086
14684,259,1637
34193,274,3084
38676,277,1285
27323,268,4451
39424,277,3366
35573,275,2670
42705,280,831
11892,256,2777
