id,x,y
790,248,857
5347,251,1269
8820,253,3966
27261,268,4388
29426,270,4127
14798,259,2498
34674,274,4115
31115,272,1534
692,248,318
43873,285,308
29582,270,4445
13010,257,3111
11586,256,1556
42907,281,347
18377,262,3648
14208,258,3916
1736,248,4019
25324,267,1955
6191,251,3651
39359,277,3301
40494,278,1953
5651,251,1995
41352,278,4075
30592,271,4108
25840,267,3889
17649,262,1140
5022,251,853
25333,267,1964
29659,271,324
30408,271,3486
43564,283,2687
8754,253,3900
45088,290,794
12220,256,3936
7925,253,828
37487,276,2936
41302,278,4025
18405,262,3676
21986,265,1382
14711,259,1664
36934,276,1296
28217,269,3897
31499,272,2954
2653,249,2484
39042,277,2565
30983,272,1180
12825,257,2072
31758,272,3697
18947,263,1664
7034,252,2034
