id,x,y
4027,250,1967
23832,266,1929
6176,251,3636
16751,261,2514
20845,264,2527
670,247,4329
3379,250,340
17946,262,2557
5234,251,1065
34462,274,3676
39230,277,2986
8061,253,1356
30382,271,3460
37595,276,3044
38509,277,351
43342,282,3496
29154,270,3120
42252,279,3480
4302,250,3116
3694,250,1182
19517,263,2761
17425,261,4447
10552,255,1830
6705,252,1211
1870,248,4500
44869,289,791
2071,249,928
38275,276,4098
1142,248,1596
6783,252,1340
44431,287,815
33630,274,1343
33986,274,2579
27440,269,355
29469,270,4261
32136,273,792
17796,262,1660
39850,277,4015
22767,265,3230
13825,258,2486
14189,258,3897
24879,267,319
22400,265,2079
6464,251,4341
5175,251,1006
41916,279,2589
30651,271,4258
7778,252,4469
36901,276,1263
1613,248,3489
