id,x,y
5791,251,2772
36504,275,4110
33698,274,1507
30166,271,2710
12354,256,4367
2252,249,1210
32180,273,836
4464,250,3429
33991,274,2584
32395,273,1700
34942,275,818
8943,253,4331
19402,263,2646
36016,275,3415
30329,271,3256
5290,251,1212
19491,263,2735
25393,267,2024
8934,253,4322
42417,279,3968
36999,276,1361
28519,270,314
15067,259,3492
11956,256,3088
192,247,991
15251,259,4335
8470,253,2901
10189,254,4506
31011,272,1339
20703,264,1974
24221,266,3243
13588,258,1144
17907,262,2518
32419,273,1724
42467,279,4018
26408,268,1124
17020,261,2879
21946,265,1131
17163,261,3475
40292,278,1288
37465,276,2908
4523,250,3488
5697,251,2041
28862,270,1848
11501,256,1159
21129,264,3088
8891,253,4128
20640,264,1911
36197,275,3707
686,247,4496
