id,x,y
39472,277,3414
20773,264,2044
32478,273,1874
43994,285,2606
31027,272,1355
9251,254,1359
8912,253,4300
45425,291,3507
41114,278,3721
31328,272,2556
43079,281,3478
36800,276,836
8157,253,1633
20004,263,4104
31479,272,2934
17113,261,3234
11219,255,4318
33120,273,3935
39833,277,3998
26639,268,1839
25167,267,1702
31890,272,4131
488,247,3350
11488,256,1146
34694,274,4135
34077,274,2897
37286,276,2031
5773,251,2503
15432,260,329
32705,273,2900
2592,249,2022
25950,267,3999
25551,267,2729
5018,251,849
12296,256,4309
7517,252,3674
17751,262,1564
31671,272,3499
35240,275,1694
36881,276,1243
39390,277,3332
23308,265,4432
22387,265,2066
25417,267,2048
17161,261,3473
19633,263,3240
11928,256,2889
40640,278,2671
11830,256,2494
29896,271,1530
