id,x,y
6274,251,3975
18579,262,4444
12904,257,2753
18358,262,3629
14575,259,1366
31776,272,3715
30175,271,2719
39936,277,4101
3713,250,1201
4527,250,3492
19867,263,3967
11042,255,3658
45135,290,2607
13055,257,3262
12839,257,2086
39919,277,4084
3928,250,1868
31564,272,3261
39505,277,3447
15279,259,4363
12550,257,836
21575,264,4118
24828,266,4527
22241,265,1920
10129,254,4365
31536,272,3112
8488,253,3090
13284,257,4301
16461,261,833
34555,274,3925
6037,251,3386
15403,259,4539
24506,266,4011
4235,250,2878
43310,282,2688
19615,263,3131
3051,249,3648
30895,272,801
4762,250,4089
13816,258,1866
4337,250,3302
26248,267,4460
2293,249,1251
4209,250,2801
13282,257,4299
33597,274,1310
22552,265,2642
26028,267,4077
42393,279,3803
14669,259,1591
