id,x,y
27575,269,1383
19968,263,4068
1618,248,3494
28413,269,4416
15700,260,1662
16771,261,2534
15993,260,3251
10208,254,4525
171,247,970
14375,258,4502
34230,274,3121
20296,264,802
32274,273,1337
33971,274,2564
31507,272,3083
34497,274,3711
8609,253,3332
26503,268,1506
45057,290,332
4674,250,4001
4713,250,4040
17426,261,4448
13556,258,831
241,247,1040
37488,276,2937
17859,262,1834
6827,252,1580
32113,273,338
13907,258,2769
15754,260,1842
35044,275,1236
29141,270,3107
41260,278,3983
25009,267,1156
19148,263,1971
30957,272,1154
42050,279,2996
3271,249,4330
2152,249,1009
34815,274,4539
17031,261,2890
1988,249,845
34663,274,4104
26495,268,1402
15518,260,1122
34633,274,4074
21469,264,4012
4979,251,810
3611,250,1003
11961,256,3093
