id,x,y
34473,274,3687
6422,251,4123
37476,276,2925
29343,270,3883
39366,277,3308
9370,254,1649
8496,253,3098
25837,267,3886
37509,276,2958
33659,274,1372
8334,253,2082
27228,268,4304
28502,269,4566
40976,278,3420
19775,263,3875
25912,267,3961
13311,257,4328
35180,275,1473
42147,279,3344
25816,267,3674
3050,249,3647
33075,273,3724
26819,268,2742
21661,264,4315
33529,274,1171
33006,273,3655
16309,260,4478
3202,249,4060
28761,270,1535
27423,269,338
6902,252,1851
39805,277,3970
37134,276,1879
20740,264,2011
19259,263,2503
2192,249,1049
28849,270,1835
23436,266,347
25565,267,2743
1763,248,4046
37267,276,2012
38802,277,1708
21467,264,4010
44038,285,2650
30210,271,2885
400,247,1965
16841,261,2604
28937,270,2084
12972,257,2902
9615,254,2788
