id,x,y
23901,266,1998
35410,275,1965
9177,254,1164
33003,273,3652
45551,292,2646
30769,271,4447
8680,253,3494
7436,252,3482
26415,268,1131
1086,248,1279
19631,263,3238
23363,265,4528
19985,263,4085
21057,264,2739
34741,274,4283
39188,277,2944
1011,248,1204
37474,276,2923
24212,266,3234
3968,250,1908
2883,249,3368
25889,267,3938
38808,277,1714
23575,266,1389
24025,266,2533
42587,279,4561
42925,281,796
24767,266,4425
23220,265,4282
42389,279,3799
36854,276,1216
34468,274,3682
11896,256,2781
22043,265,1540
42481,279,4032
1104,248,1297
6886,252,1639
6450,251,4327
17464,261,4486
11529,256,1348
7519,252,3676
36793,276,829
18274,262,3243
8698,253,3512
41679,279,1278
21308,264,3660
26340,268,344
25980,267,4029
32115,273,340
6201,251,3661
