id,x,y
17231,261,3654
14637,259,1559
122,247,921
28449,269,4452
43063,281,2691
11745,256,1867
30181,271,2725
3538,250,930
36589,275,4387
31551,272,3248
15550,260,1154
35722,275,2965
29027,270,2716
12210,256,3926
884,248,951
22372,265,2051
12253,256,4130
31560,272,3257
22270,265,1949
8948,253,4336
42508,279,4059
25999,267,4048
30736,271,4414
5397,251,1319
16961,261,2724
45308,291,808
3672,250,1064
43371,283,316
43971,285,2583
41430,278,4400
645,247,4042
5376,251,1298
2466,249,1896
37982,276,3714
12018,256,3256
41875,279,2007
4350,250,3315
39930,277,4095
1704,248,3987
36168,275,3678
10608,255,1886
43537,283,2660
22528,265,2618
19257,263,2501
23728,266,1825
17814,262,1678
44580,287,3506
19739,263,3648
27672,269,1682
33353,273,4537
