id,x,y
39077,277,2600
2977,249,3462
5146,251,977
13601,258,1157
26007,267,4056
24899,267,339
34430,274,3644
26868,268,2912
20787,264,2058
27653,269,1552
33336,273,4439
16746,261,2509
34087,274,2907
27621,269,1520
27518,269,1145
29370,270,3910
26108,267,4258
43575,283,3474
37340,276,2571
36792,276,828
35221,275,1514
42494,279,4045
29420,270,4121
24107,266,2756
45068,290,343
29195,270,3267
19270,263,2514
3086,249,3944
17137,261,3258
17357,261,4338
32853,273,3280
41733,279,1493
9102,254,793
19791,263,3891
33814,274,1870
36944,276,1306
45589,292,3500
19770,263,3870
17616,262,836
23689,266,1690
23111,265,4067
18499,262,4312
29226,270,3469
13571,258,1127
15068,259,3493
12111,256,3510
16930,261,2693
20721,264,1992
43684,284,805
33135,273,3950
