id,x,y
18397,262,3668
32724,273,2919
21136,264,3095
10400,255,1356
20693,264,1964
36019,275,3418
3334,249,4504
28076,269,3283
38956,277,1978
7815,252,4506
15260,259,4344
7411,252,3457
40141,278,355
7260,252,3124
14771,259,1855
38357,276,4387
18863,263,1413
25090,267,1534
21289,264,3641
21147,264,3106
17022,261,2881
38551,277,824
28282,269,4133
2945,249,3430
40111,278,325
30836,272,311
38290,276,4113
11900,256,2785
39633,277,3702
6397,251,4098
40166,278,811
25123,267,1658
10700,255,2490
9760,254,3286
26853,268,2897
36775,276,811
12710,257,1625
21456,264,3999
3063,249,3660
36657,275,4546
18419,262,3881
30526,271,3896
9687,254,3097
13271,257,4288
41199,278,3806
24202,266,3133
10751,255,2762
19220,263,2043
42222,279,3419
15593,260,1398
