id,x,y
5714,251,2058
2437,249,1631
1221,248,1936
12741,257,1656
10621,255,2040
41405,278,4264
4385,250,3350
9031,253,4510
21109,264,2897
30986,272,1183
35026,275,1218
45559,292,2654
22011,265,1407
28985,270,2563
44938,289,2621
30207,271,2882
26556,268,1559
18378,262,3649
12136,256,3646
42572,279,4415
17806,262,1670
25398,267,2029
40849,278,3082
8419,253,2784
2030,249,887
38492,277,334
14697,259,1650
254,247,1053
21999,265,1395
16590,261,1560
24410,266,3915
39232,277,2988
38459,276,4590
41128,278,3735
7948,253,1152
15054,259,3479
43633,284,323
44780,288,3480
37836,276,3451
38745,277,1470
33428,274,333
28295,269,4146
13605,258,1161
17966,262,2577
1424,248,2907
13230,257,3930
8626,253,3440
32370,273,1524
39426,277,3368
26730,268,2532
