id,x,y
32534,273,2041
2285,249,1243
10350,255,1165
43812,284,2675
8505,253,3107
24836,266,4535
25228,267,1859
35019,275,1211
5980,251,3329
18527,262,4361
4304,250,3118
24964,267,835
38851,277,1873
22390,265,2069
37194,276,1939
9542,254,2484
15492,260,820
6177,251,3637
45083,290,789
9721,254,3131
30862,272,337
1334,248,2475
43225,282,2582
18265,262,3234
10728,255,2518
2427,249,1621
23997,266,2094
37714,276,3329
39903,277,4068
8367,253,2491
3341,249,4511
41781,279,1913
23845,266,1942
32336,273,1490
2254,249,1212
6072,251,3421
17640,262,1131
37233,276,1978
34574,274,3944
15664,260,1595
16767,261,2530
5451,251,1584
28951,270,2529
24428,266,3933
40910,278,3354
22251,265,1930
38362,276,4392
11454,256,826
33008,273,3657
33582,274,1224
