id,x,y
14025,258,3240
14799,259,2499
26371,268,806
27888,269,2707
17917,262,2528
35680,275,2923
26296,267,4559
44640,288,788
19261,263,2505
22525,265,2615
5638,251,1982
21302,264,3654
8603,253,3326
1010,248,1203
21615,264,4269
8173,253,1649
40161,278,806
44642,288,790
10690,255,2480
36086,275,3485
18813,263,1152
13910,258,2772
26062,267,4111
13106,257,3489
5038,251,869
2859,249,3344
32323,273,1386
11690,256,1661
20460,264,1554
11448,256,820
6020,251,3369
5176,251,1007
10922,255,3286
8096,253,1572
23361,265,4526
37624,276,3073
60,247,859
43535,283,2658
41986,279,2700
8119,253,1595
13169,257,3663
14882,259,2773
12733,257,1648
31922,272,4259
9588,254,2761
38193,276,4016
45663,293,2622
6033,251,3382
32803,273,3104
43823,284,2686
