id,x,y
15203,259,4286
39446,277,3388
2341,249,1299
8691,253,3505
16940,261,2703
8901,253,4138
17530,262,319
17801,262,1665
18396,262,3667
25670,267,3135
20860,264,2542
16632,261,1643
3598,250,990
26416,268,1132
30552,271,3922
28225,269,3905
9773,254,3299
1012,248,1205
16325,260,4505
42779,280,2662
18222,262,3100
28157,269,3651
27142,268,4122
20835,264,2517
4906,250,4520
9100,254,791
23945,266,2042
8023,253,1318
8824,253,3970
8583,253,3306
40070,277,4573
6390,251,4091
31087,272,1506
41593,279,821
30906,272,812
2891,249,3376
37050,276,1518
11485,256,1143
24164,266,3095
34632,274,4073
28749,270,1523
8489,253,3091
13470,258,314
33229,273,4251
7654,252,4093
5620,251,1964
14959,259,3107
30961,272,1158
39098,277,2682
29477,270,4269
