id,x,y
15814,260,2528
18110,262,2721
34437,274,3651
9461,254,2032
42110,279,3056
10110,254,4346
36376,275,3982
44883,289,805
8022,253,1317
13151,257,3645
3882,250,1596
24479,266,3984
22104,265,1682
36935,276,1297
1027,248,1220
38608,277,1217
11593,256,1563
6942,252,1891
41336,278,4059
10289,255,813
17764,262,1577
22789,265,3252
9678,254,3088
41798,279,1930
28910,270,2057
33089,273,3904
32561,273,2068
13016,257,3117
21639,264,4293
34317,274,3420
45539,292,2634
14168,258,3675
4240,250,2883
18501,262,4314
35950,275,3349
23500,266,1113
32315,273,1378
42002,279,2887
32403,273,1708
7302,252,3297
10977,255,3482
9582,254,2755
9526,254,2468
24881,267,321
41402,278,4261
26605,268,1709
16797,261,2560
1248,248,1963
7931,253,834
17998,262,2609
